Nr,Name,country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,On_JTR,Link_JTR,Comments,party2,Description,Paid or unpaid (a blank entry means it is not clear),Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
28291,Romana Jordan,Slovenia,EPP,Democratic Party,European parliament,MEP,Chair of the ACER Administrative Board ,Public Service,Public sector,no,5,http://www.acer.europa.eu/Media/News/Pages/New-Chair-of-ACER-Administrative-Board.aspx/,,No,,,,,,,,,,,
28291,Romana Jordan,Slovenia,EPP,Democratic Party,European parliament,MEP,Member of the Management Board of Financial Fund for Decommissioning of the Nuclear Power Plant Krško (2015 -),NGO,NGO,no,,http://energypolicyconsideration.eu/romana/,,No,,,,,,,,,,,
28291,Romana Jordan,Slovenia,EPP,Democratic Party,European parliament,MEP,Member of the Administrative Board of the Urban Planning Institute of the Republic of Slovenia (January 2015 – ) ,NGO,NGO,no,,http://energypolicyconsideration.eu/romana/,,No,,,,,,,,,,,
28291,Romana Jordan,Slovenia,EPP,Democratic Party,European parliament,MEP,President of the Sustainable Energy Society,NGO,NGO,no,,http://energypolicyconsideration.eu/romana/,,No,,,,,,,,,,,
28291,Romana Jordan,Slovenia,EPP,Democratic Party,European parliament,MEP,Assistant to the director at Jožef Stefan Institute,Academia,University,no,,http://energypolicyconsideration.eu/romana/,,No,,,,,,,,,,,
96886,Rosario Crocetta,Italy,S&D,Democratic Party,European parliament,MEP,President of Sicily,Public Service,Elected office,no,,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_IlPresidente,,No,,,PD,,,,,,,,
38595,Rovana Plumb,Romania,S&D,Social Democratic Party,European parliament,MEP,Deputy in the Romanian parliament,Public Service,Elected office,no,2,http://www.cdep.ro/pls/parlam/structura.mp?idm=290&leg=2012&cam=2,,No,,,,,,,,,,,
38595,Rovana Plumb,Romania,S&D,Social Democratic Party,European parliament,MEP,Vice-President of the National Council of PSD,Public Service,Elected office,no,,http://www.cdep.ro/pls/parlam/structura.mp?idm=290&leg=2012&cam=2,,No,,,,,,,,,,,
96821,Rui Tavares,Portugal,Greens/EFA,Left Bloc,European parliament,MEP,Visiting Scholar at New York University ,Academia,University,no,,https://www.facebook.com/tavaresrui/about?section=education&pnref=about,,No,,,BE,,,,,,,,
38609,Rumiana Jeleva,Bulgaria,EPP,Citizens for European Development of Bulgaria,European parliament,MEP,Member of Wilfried Martens Centre,Academia,Think tank,yes ,,http://www.martenscentre.eu/people/rumiana-jeleva,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=865557816122-74,,,,,,,,,,
96741,Sabine Wils,Germany,GUE/NGL,The Left,European parliament,MEP,"Spokesperson for Die Linke, Hamburg",Public Service,Political party,no,,https://www.die-linke.de/partei/organe/parteivorstand/parteivorstaende-archiv/parteivorstand-2012-2014/mitglieder/wils-sabine/,,No,,,,,,,,,,,
25718,Saïd El Khadraoui,Belgium,S&D,Socialist Party–Differently,European parliament,MEP,Adviser at European Political Strategy Centre - European Commission,Public Service,Public sector,no,,https://ec.europa.eu/epsc/team/sa%C3%AFd-el-khadraoui_en,,No,,,,,,,,,,,
1665,Salvador Garriga Polledo,Spain,EPP,People's Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,https://ca.wikipedia.org/wiki/Salvador_Garriga_Polledo,,No,,,PP,Confirmed,,,,,,,
111018,Salvador Sedó I Alabart,Spain,EPP,Coalition for Europe ( Democratic Union of Catalonia),European parliament,MEP,Senator ,Public Service,Elected office,no,,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?lang=en&id1=16125&legis=10,,No,,,,,,,,,,,
96866,Salvatore Caronna,Italy,S&D,Democratic Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,Democratic Party,,,,,,,,
96818,Salvatore Iacolino,Italy,EPP,Forza Italia,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,FI,Still politcally active but does not hold any Public sector,,,,,,,
1945,Salvatore Tatarella,Italy,EPP,The people of freedom,European parliament,MEP,Director and Founding Member of the Giuseppe Tatarella Foundation,Academia,Think tank,no,,http://www.fondazionegiuseppetatarella.it/la-fondazione/,,No,,,,Note: website being revamped. Most current info on foundation's facebook page.,,,,,,,
119441,Sandra Petrovic Jakovina,Croatia,S&D,Social Democratic Party,European parliament,MEP,Lawyer,Private Sector,Law firm,no,,https://sh.wikipedia.org/wiki/Sandra_Petrovi%C4%87_Jakovina,,No,,,,,,,,,,,
96738,Sandrine Bélier,France,Greens/EFA,Europe Ecology,European parliament,MEP,Director of the association Humanity and Biodiversity,NGO,NGO,no,2,http://www.humanite-biodiversite.fr/article-asso/sandrine-belier-nouvelle-directrice-de-l-association-humanite-et-biodiversite,,No,,,,,,,,,,,
96738,Sandrine Bélier,France,Greens/EFA,Europe Ecology,European parliament,MEP,"Self-employed consultant for politics, governance and environmental strategies",Private Sector,Consultancy,no,,https://fr.wikipedia.org/wiki/Sandrine_B%C3%A9lier,,No,,,,Consulting or NGO? ,,,,,,,
96682,Sari Essayah,Finland,EPP,Christian Democrats,European parliament,MEP,Member of the Finnish parliament ,Public Service,Elected office,no,,https://www.eduskunta.fi/EN/kansanedustajat/Pages/778.aspx,,No,,,,,,,,,,,
28321,Satu Hassi,Finland,Greens/EFA,Green League,European parliament,MEP,Member of parliament of Finland,Public Service,Elected office,no,,https://www.eduskunta.fi/EN/kansanedustajat/Pages/363.aspx,,No,,,,,,,,,,,
39722,Sebastian Valentin Bodu,Romania,EPP,Democratic Liberal Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,"Sounds strange, he is very young and high profile politician ",,,,,,,
23873,Sergej Kozlík,Slovakia,ALDE,People's Party–Movement for a Democratic Slovakia,European parliament,MEP,President of Democratic Slovakia (political party),Public Service,Political party,no,,http://www.sdska.sk/vedenie/,,No,,,,,,,,,,,
4746,Sergio Berlato,Italy,EPP,Forza italia ,European parliament,MEP,Member of the Regional Council of Venice,Public Service,Elected office,no,,http://www.sergioberlato.it/profilo.asp,,No,,,,Confirmed,,,,,,,
96755,Sergio Paolo Francesco Silvestris,Italy,EPP,The people of freedom,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
33570,Sharon Bowles,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Non-executive director at the London Stock Exchange Group plc,Private Sector,Company and Group,yes ,,https://www.parliament.uk/biographies/lords/baroness-bowles-of-berkhamsted/4562,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=550494915045-08,,LibDem,,,,,,,,
33570,Sharon Bowles,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Member of the House of Lords,Public Service,Elected Office,No,,https://www.parliament.uk/biographies/lords/baroness-bowles-of-berkhamsted/4563,,No,,,,,,,,,,,
33570,Sharon Bowles,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Director of Prime Collaterised Securities Europe ,Private Sector,Companies and Groups,No,,https://www.parliament.uk/biographies/lords/baroness-bowles-of-berkhamsted/4564,,No,,,,,,,,,,,
33570,Sharon Bowles,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Partner at Bowles Horton Partnership,Private Sector,Companies and Groups,No,,https://www.parliament.uk/biographies/lords/baroness-bowles-of-berkhamsted/4565,,No,,,,,,,,,,,
33570,Sharon Bowles,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Senior Consultant for Afore Consulting,Private Sector,Consultancy,Yes,,https://www.parliament.uk/biographies/lords/baroness-bowles-of-berkhamsted/4566,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=03013154889-05,,,,,,,,,,
96782,Sidonia Elzbieta Jedrzejewska,Poland,EPP,Civic Platform,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,PO,Confirm,,,,,,,
26829,Siiri Oviir,Estonia,ALDE,Centre Party ,European parliament,MEP,Chairman of the Board of Governors of the University of Tallinn,Academia,University,no,2,https://et.wikipedia.org/wiki/Siiri_Oviir,,No,,,,,,,,,,,
26829,Siiri Oviir,Estonia,ALDE,Centre Party ,European parliament,MEP,Board Member of the West Tallinn hospital,Public Service,Public sector,no,,https://et.wikipedia.org/wiki/Siiri_Oviir,,No,,,,,,,,,,,
28241,Silvana Koch-Mehrin,Germany,ALDE,Free Democratic Party,European parliament,MEP,Senior Policy Adviser at Gplus Europe,Private Sector,Consultancy,yes ,2,http://www.gpluseurope.com/en/people/silvana-koch-mehrin.php,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=7223777790-86,,,,,,,,,,
28241,Silvana Koch-Mehrin,Germany,ALDE,Free Democratic Party,European parliament,MEP,Founder of the Women in Parliaments Global Forum,NGO,NGO,no,,http://www.womeninparliaments.org/speaker/silvana-koch-mehrin/,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=419508817229-68,,,,,,,,,,
36281,Silvia-Adriana Ticau,Romania,S&D,Social Democratic Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,Confirm,,,,,,,
28120,Simon Busuttil,Malta,EPP,Nationalist Party ,European parliament,MEP,Leader of the Opposition in Malta - head of the nationalist party,Public Service,Political party,no,,http://www.pn.org.mt/,,No,,,,,,,,,,,
2155,Sir Graham Watson,United Kingdom,ALDE,Liberal Democrats ,European parliament,MEP,Founder and Managing Director at Bagehot Ltd,Private Sector,Consultancy,yes ,4,https://corporateeurope.org/revolvingdoorwatch/cases/graham-watson ,Organisations having contracts with APCO Worldwide and Government of Gibraltar,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=689711715958-80,,LibDem,,,,,,,,
2155,Sir Graham Watson,United Kingdom,ALDE,Liberal Democrats ,European parliament,MEP,President elect of Europe Active,Private sector,Consultancy,,,http://www.europeactive.eu/who-we-are/europeactive-board,,No,,,,,,,,,,,
2155,Sir Graham Watson,United Kingdom,ALDE,Liberal Democrats ,European parliament,MEP,Member for the European Economic and Social Committee,Public Service,Public sector,no,,http://memberspage.eesc.europa.eu/Search/Details/Person/2032964,,No,,,,,,,,,,,
2155,Sir Graham Watson,United Kingdom,ALDE,Liberal Democrats ,European parliament,MEP,Consultant for APCO Worldwide,Private Sector,Consultancy,yes,,http://www.apcoworldwide.com/about-us/our-people/bios/Graham-Watson,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=81995781088-41,,,,,,,,,,
4537,Sir Robert Atkins,United Kingdom,ECR,Conservative Party,European parliament,MEP,President of Preston Conservative Association ,NGO,NGO,no,,http://www.sir-robertatkins.org/curriculum-vitae/,,No,,,,,,,,,,,
38610,Slavi Binev,Bulgaria,NI,Attack,European parliament,MEP,Member of Bulgarian parliament ,Public Service,Elected office,no,,http://www.parliament.bg/en/MP/2424,,No,,,,,,,,,,,
96794,Sławomir Nitras,Poland,EPP,Civic Platform,European parliament,MEP,"Member of the Sejm, Poland ",Public Service,Elected office,no,,http://www.sejm.gov.pl/sejm8.nsf/posel.xsp?id=274,,No,,,,,,,,,,,
97086,Sonia Alfano,Italy,ALDE,Italy of Values,European parliament,MEP,President of the Italian Anti-mafia commission,Unknown,Unknown,Unknown,0,,,No,,,IdV,This Commission no longer exist. ,,,,,,,
96862,Sophie Auconie,France,EPP,Union for a Popular Movement,European parliament,MEP,Governor at the World Water Council,Private Sector,Business association,no,,http://www.worldwatercouncil.org/about-us/organisation/board-of-governors-2012-2015/cercle-francais-de-leau-cfe,,No,,,UMP,Created her own Consultancy on EU funding according to this interview ,,,,,,,
114840,Sophocles Sophocleous,Cyprus,S&D,Movement for Social Democracy,European parliament,MEP,Lawyer,Private Sector,Law firm,no,,https://en.wikipedia.org/wiki/Sophocles_Sophocleous,,No,,,EDEK,,,,,,,,
37676,Søren Bo Søndergaard,Denmark,GUE/NGL,People's Movement against the EU,European parliament,MEP,Member of the Danish parliament ,Public Service,Elected office,no,,http://www.thedanishparliament.dk/Members/elsobs.aspx,,No,,,,,,,,,,,
99325,Spyros Danellis,Greece,S&D,Panhellenic Socialist movement,European parliament,MEP,"Elected to the Greek parliament in 2015 under the ""To Potami"" list",Public Service,Elected office,no,,https://goo.gl/XHTkic,,No,,,PASOK,,,,,,,,
34235,Stanimir Ilchev,Bulgaria,ALDE,National Movement for Stability and Progress (National Movement Simeon II),European parliament,MEP,"Co-chair of political party ""National Movement for Stability and Prosperity""",Public Service,Political party,no,,https://en.wikipedia.org/wiki/National_Movement_for_Stability_and_Progress,,No,,,,,,,,,,,
28576,Stavros Lambrinidis,Greece,S&D,Socialist Movement,European parliament,MEP,EU Special Representative for Human Rights at European External Action Service,Public Service,Public sector,no,,https://eeas.europa.eu/headquarters/headquarters-homepage/3606/eu-special-representatives_en,,No,,,,,,,,,,,
28162,Stéphane Le Foll,France,S&D,Socialist Party,European parliament,MEP,French Minister of Agriculture and Spokesperson for the Government,Public Service,Elected office,no,,http://www.gouvernement.fr/ministre/stephane-le-foll,,No,,,PS,,,,,,,,
1407,Stephen Hughes,United Kingdom,S&D,Labour Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
4546,Struan Stevenson,United Kingdom,ECR,Conservative Party,European parliament,MEP,Author,Private Sector,Self-employed,no,,https://www.facebook.com/struanmep/about?section=education&pnref=about,,No,,,,,,,,,,,
118708,Susy De Martini,Italy,EPP,Forza Italia,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,FI,,,,,,,,
96925,Sylvana Rapti,Greece,S&D,Socialist Movement,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,No info ,,,,,,,
96786,Tadeusz Cymanski,Poland,ECR,Law and Justice,European parliament,MEP,Member of the Polish parliament,Public Service,Elected office,no,,http://www.sejm.gov.pl/sejm8.nsf/posel.xsp?id=057&type=W&wojewodztwo=pomorskie,,No,,,PiS,,,,,,,,
122317,Tadeusz Ross,Poland,EPP,Civic Platform,European parliament,MEP,Writer,Private Sector,Media,no,3,https://pl.wikipedia.org/wiki/Tadeusz_Ross,,No,,,,,,,,,,,
122317,Tadeusz Ross,Poland,EPP,Civic Platform,European parliament,MEP,"Polish actor, comedian, singer",Private Sector,Media,no,,https://pl.wikipedia.org/wiki/Tadeusz_Ross,,No,,,PO,No longer in office ,,,,,,,
122317,Tadeusz Ross,Poland,EPP,Civic Platform,European parliament,MEP,Politician ,Public Service,Political party,Unknown,,https://pl.wikipedia.org/wiki/Tadeusz_Ross,,No,,,,,,,,,,,
107973,Tarja Cronberg,Finland,Greens/EFA,Green League,European parliament,MEP,Associate Fellow for European Security at the Stockholm International Peace Research Institute,Academia,University,no,,https://www.sipri.org/about/bios/dr-tarja-cronberg,,No,,,,,,,,,,,
28349,Teresa Riera Madurell,Spain,S&D,Socialist Workers' Party,European parliament,MEP,President of the Socialist Party in the Baleares ,Public Service,Political party,no,,https://es.wikipedia.org/wiki/Teresa_Riera,,No,,,PSOE,,,,,,,,
97018,Theodoros Skylakakis,Greece,ALDE,Democratic Alliance,European parliament,MEP,President of Drassi,Public Service,Political party,no,,https://goo.gl/5hLNlu,,No,,,,,,,,,,,
28174,Thijs Berman,Netherlands,S&D,Labour Party,European parliament,MEP,Principal Advisor to the OSCE Representative on Freedom of the Media,Public Service,Public sector,no,,http://www.osce.org/fom/286806?download=true,,No,,,,,,,,,,,
28221,Thomas Ulmer,Germany,EPP,Christian Democratic Union,European parliament,MEP,Doctor,Private sector,Self-employed,no,,https://de.wikipedia.org/wiki/Thomas_Ulmer,,No,,,,,,,,,,,
96666,Timo Soini,Finland,EFD,True Finns,European parliament,MEP,Deputy Prime Minister of Finland,Public Service,Elected office,no,,https://en.wikipedia.org/wiki/Timo_Soini,,No,,,,,,,,,,,
96760,Tiziano Motti,Italy,EPP,Union and Christians and Democrats,European parliament,MEP,President of the European Movement of Rights,Unknown,Unknown,Unknown,0,http://www.tizianomotti.com/curriculum-politico/,,No,,,LibDem,Check this,,,,,,,
4560,Toine Manders,Netherlands,ALDE,People's Party for Freedom and Democracy,European parliament,MEP,Advisor at Boskamp and Willems,Private Sector,Consultancy,no,,http://www.boskampwillems.nl/mr-drs-a-j-m-manders-1956/,,No,,,VVD,,,,,,,,
94283,Trevor Colman,United Kingdom,NI,UK Independence Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,UKIP,,,,,,,,
28336,Vera Flasarová,Czech Republic,GUE/NGL,Communist Party of Bohemia and Moravia ,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,https://cs.wikipedia.org/wiki/V%C4%9Bra_Flasarov%C3%A1,,No,,,KSČM,No further info ,,,,,,,
22097,Véronique De Keyser,Belgium,S&D,Socialist Party,European parliament,MEP,Municipal Councillor in Liege,Public Service,Elected office,no,,https://fr.wikipedia.org/wiki/V%C3%A9ronique_De_Keyser,,No,,,,,,,,,,,
22097,Véronique De Keyser,Belgium,S&D,Socialist Party,European parliament,MEP,Professor at the University of Liege ,Academia,University,no,,https://fr.wikipedia.org/wiki/V%C3%A9ronique_De_Keyser,,No,,,,,,,,,,,
4412,Véronique Mathieu Houillon,France,EPP,Union for a Popular Movement,European parliament,MEP,Doctor,Public Service,Public sector,no,,http://www.lecese.fr/membre/mathieu-houillon,,No,,,UMP,,,,,,,,
39321,Vicente Miguel Garcés Ramón,Spain,S&D,Socialist Workers' Party,European parliament,MEP,Vice-President at the Centre for Agrcultural studies,Academia,University,no,,http://cerai.org/organigrama/,,No,,,PSOE,,,,,,,,
97308,Vilja Savisaar-Toomast,Estonia,ALDE,Centre Party ,European parliament,MEP,Member of the Estonian parliament ,Public Service,Elected office,no,,http://www.riigikogu.ee/en/parliament-of-estonia/composition/members-riigikogu/,,No,,,,,,,,,,,
