Nr ,Name,Country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie ,category_bar,Brussels_lobbying,Number of Activities,Link_source,pre_mandate_activity orginal,pre_mandate_activity,Category pie,category_bar2,Link_DOI,Link_profile,party2,Description ,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
97228,Pino ARLACCHI,Italy,ALDE,Democratic Party,European Parliament,MEP,International affairs advisor for Itinera. Currently involved in a investment plan to expan Iranian railways,Private Sector,Companies and Groups,no,2,http://www.open-iran.com/view/EN/20416.aspx,Professore Universitario Ruolo A200Presidente Societa Progetto Magna Graecia (attnita? non retributa)000000,unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/97228_28-02-2012.pdf,,,,,,,,,,
97228,Pino ARLACCHI,Italy,ALDE,Democratic Party,European Parliament,MEP,Writer,Private Sector,Self-employed,no,,http://www.open-iran.com/view/EN/20416.aspx,Professore Universitario Ruolo A200Presidente Societa Progetto Magna Graecia (attnita? non retributa)000000,unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/97228_28-02-2012.pdf,,,,,,,,,,
96799,Piotr BORYS,Poland,EPP,Civic Platform,European Parliament,MEP,Director of the office of preparation of investments of national railway company PKP,Elected office & public sector,Public sector,no,,http://www.plk-sa.pl/kontakt/centrala-spolki/,,Deputy Marshal of Lower Silesia ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96799_29-03-2012.pdf,,,Works for the national railcompany,,,,,,,
96889,Potito SALATTO,Italy,EPP,Future and Freedom,European Parliament,MEP,died,Others,Deceased,no,,https://it.wikipedia.org/wiki/Potito_Salatto,,Unknown ,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96889_19-03-2012.pdf,,FLI,,,,,,,,
116816,Preslav BORISSOV,Bulgaria,EPP,Citizens for European Development of Bulgaria,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,"Manager forDepas ltd, Lavis Ltd, Lavris invest ltd, Vice-Minister for Agriculture ",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/116816_10-01-2013.pdf,,,No link found,,,,,,,
1289,Proinsias DE ROSSA,Ireland,S&D,Labour Party,European Parliament,MEP,Chair of TASC (Think Tank for Action on Social Change),Academia,Academic,no,,http://www.tasc.ie/about/board.html,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/1289_10-01-2011.PDF,,,Think tank ,,,,,,,
96695,Radvile MORKUNAITE-MIKULENIENE,Lituania,EPP,Homeland Union,European Parliament,MEP,Elected to Lithuanian national assembly on 9th of October 2016,Elected office & public sector,Elected office,no,,,,"MP assistant, Adviser to the Minister of Foreign Affairs, ",Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/96695_30-03-2012.pdf,,,Could not find source online but certified by TI-LT,,,,,,,
96773,Rafal TRZASKOWSKI,Poland,EPP,Civic Platform,European Parliament,MEP,Polish MP,Elected office & public sector,Elected office,no,,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=407,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/meps/en/.html,,,,,,,,,,
96757,Raffaele BALDASSARRE,Italy,EPP,Forza italia ,European Parliament,MEP,Lawyer,Private Sector,Law firms,no,,https://it.wikipedia.org/wiki/Raffaele_Baldassarre,Avvocato2Avvocato2Presidente Prov. Le Movimento Cristiano Lavoratori,Lawyer,Private sector,Self-employed,http://www.europarl.europa.eu/ep-dif/96757_29-02-2012.pdf,,,,,,,,,,
4328,Raimon OBIOLS,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Born in 1940. Most likely retired ,Others,Retired,no,,https://ca.wikipedia.org/wiki/Raimon_Obiols_i_Germ%C3%A0,MEP3,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/4328_27-02-2012_Rev2.pdf,,PSOE,,,,,,,,
39714,Rares-Lucian NICULESCU,Romania,EPP,Democratic Liberal Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,Deputé europeén 2007-20092Consellier aupres du ministre de interieur1Directeur de cabinet10000,"MEP, Counsellor for the Minister of Home Affairs",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/39714_28-03-2012_Rev2.pdf,,,Confirm,,,,,,,
28409,Raül ROMEVA i RUEDA,Spain,Greens/EFA,The Left ( Initiative for Catalonia Greens),European Parliament,MEP,"Minister of Foreign Affairs, Institutional Relations & Transparency, Catalan Government.",Elected office & public sector,Elected office,no,,https://goo.gl/dPBGmK,MEP 2004-20092Profesor Universitario2,"Professor, MEP",Academia,Academic,http://www.europarl.europa.eu/ep-dif/rev/28409_30-01-2013_Rev3.pdf,,,,,,,,,,
112620,Rebecca TAYLOR,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,"President REGJUN Notsinha, Deputy Mayor,Member of commitee of the regions, Member congress",Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/112620_21-04-2012.pdf,,LibDem,,,,,,,,
5956,Regina Bastos,Portugal,EPP,Social Democratic Party,European Parliament,MEP,"Member of the National Assembly of Portugal, President of the Commission for European Affairs",Elected office & public sector,Elected office,no,,https://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2106,Presidente assemb munic. AveiroDeputada Assembleia da República0000000,MP in parliament,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/5956_30-03-2012.pdf,,,,,,,,,,
1122,Ria OOMEN-RUIJTEN,Netherlands,EPP,Christian Democratic Appeal,European Parliament,MEP,Senator for the Netherlands Parliament,Elected office & public sector,Elected office,no,,https://www.eerstekamer.nl/persoon/m_g_h_c_oomen_ruijten_cda,,"Working for the mediation foundation, President of the National Park of Maasduinen, President of the Housing association Z-duizend, Member of the OLS federation,  Boardmember of Mars, Boardmember for research project of Utrecht University",NGOs,NGOs ,http://www.europarl.europa.eu/ep-dif/1122_29-03-2012.pdf,,CDA,,,,,,,,
96987,Ricardo CORTÉS LASTRA,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Member of Congress of Spain,Elected office & public sector,Elected office,no,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=353&idLegislatura=12,PSOE0000000000000000000000000000000000000000000000000000000000000000,Socialist Party,Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/rev/96987_27-02-2012_Rev2.pdf,,PSOE,,,,,,,,
23840,Richard FALBR,Czech Republic,S&D,Social Democratic Party,European Parliament,MEP,"Retired (born in 1940, left all political occupations in his party)",Others,Retired,no,,https://cs.wikipedia.org/wiki/Richard_Falbr,,"President of the National Education fund , President of the Usti region",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/23840_29-03-2012.pdf,,,,,,,,,,
28252,Richard SEEBER,Austria,EPP,Austrian People's Party,European Parliament,MEP,Representation of Tirol in Brussels,Elected office & public sector,Public sector,no,,https://www.tirol.gv.at/tirol-europa/tirolereuropapolitik/tirol-buero-bruessel/,"MEP300Christlich Demokratisches Umweltforum, President (Christian Democratic Environmental Forum, President)0Intergruppe Wasser EP, Präsident (Intergroup on Water, EP, President)0000","MEP, President Christian Democratic Environmental Forum, President)",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28252_23-01-2012_Rev2.pdf,,OVP,,,,,,,,
96685,Riikka PAKARINEN,Finland,ALDE,Centre Party ,European Parliament,MEP,Manager of government relations and bioeconomy,Private Sector,Business associations,yes ,,https://fi.wikipedia.org/wiki/Riikka_Pakarinen,Eduskunta-Avustaja2Lehdistöavustaja Ulkoministeriö2Keskustapuolve Varapuheenjohtaja,"Parliamentary Assistant, Press secretary for foreign affairs",Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/rev/96685_29-02-2012_Rev2.pdf,,,As a lobbyist or a wood-chuck?,,,,,,,
96916,Rita BORSELLINO,Italy,S&D,Democratic Party,European Parliament,MEP,"President of Libers, anti/mafia association she has founded in 1995. ",Academia,Academic,no,3,https://centropaoloborsellino.com/lo-statuto/,,Unknown position for 2 associations ,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96916_29-03-2012.pdf,,PD,,,,,,,,
96916,Rita BORSELLINO,Italy,S&D,Democratic Party,European Parliament,MEP,"Chairman of ""Associazione Piera Cutino",NGOs,NGOs,no,,,,Unknown position for 2 associations ,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96916_29-03-2012.pdf,,,,,,,,,,
96916,Rita BORSELLINO,Italy,S&D,Democratic Party,European Parliament,MEP,President of the Study Centre Paolo Borselino,NGOs,NGOs,no,,,,Unknown position for 2 associations ,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96916_29-03-2012.pdf,,,,,,,,,,
96717,Robert DUŠEK,Czech Republic,S&D,Social Democratic Party,European Parliament,MEP,Got suspended from his party after proof was found by the police that he committed fraud. Unknown,Unknown,Unknown,Unknown,,https://cs.wikipedia.org/wiki/Robert_Du%C5%A1ek,,MP Czech Republic,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96717_29-02-2012.pdf,,,,,,,,,,
4429,Robert GOEBBELS,Luxembourg,S&D,Socialist Workers' Party,European Parliament,MEP,Governor for Luxembourg in the ASIA-Europe Foundation,NGOs,NGOs,no,,,MEP since 993,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/4429_12-03-2012_Rev2.pdf,,,,,,,,,,
2037,Robert STURDY,United Kingdom,ECR,Conservative Party,European Parliament,MEP,Unknown,Unknown,Unknown,Unknown,,https://en.wikipedia.org/wiki/Robert_Sturdy,MEP3,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/2037_27-03-2012_Rev2.pdf,,,,,,,,,,
1941,Roberta ANGELILLI,Italy,EPP,New Centre Right ,European Parliament,MEP,Active member of the Nuovo Centro Democratic. Does not hold an elected office currently,Unknown,Unknown,Unknown,,http://www.nuovocentrodestra.it/coordinatori-regionali-e-di-grandi-citta/,MEP3A titolo gratuito membro consiguo amministrazione fondazione U. spirito - R. de Felice,"MEP, Member of of the administrative of the U Spirito foundation",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/1941_30-03-2012_Rev2.pdf,,NCD,No longer a regional coordinator. Is active in the no campaign for the referendum on the reform of the state ,,,,,,,
125380,Roberto DIETRICH,Romania,ALDE,National Liberal Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/meps/en/125380/ROBERTO_DIETRICH_home.html,,PNL,Confirm,,,,,,,
4482,Rodi KRATSA-TSAGAROPOULOU,Greece,EPP,New Democracy,European Parliament,MEP,President of the Konstantinos Karamanlis Institute for Democracy,Academia,Think tanks,no,,https://www.linkedin.com/in/rodikratsa,ΔΗΜΟΤΙΚΟΣ ΣΥΜΒΟΥΛΟΣ ΑΘΗΝΑΙΩΝ (1998-1999)ΜΕΛΟΣ ΤΟΥ ΔΙΟΙΚΗΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ ΚΑΙ ΜΕΛΟΣ ΤΗΣ ΕΠΙΣΤΗΜΟΝΙΚΗΣ ΕΠΙΤΡΟΠΗΣ ΤΟΥ ΙΔΡΥΜΑΤΟΣ ΓΙΑ ΤΟ ΠΑΙΔΙ ΚΑΙ ΤΗΝ ΟΙΚΟΓΕΝΕΙΑΔΙΕΘΝΗΣ ΠΡΟΕΔΡΟΣ ΤΗΣ ΔΙΕΘΝΗΣ ΟΡΓΑΝΩΣΗΣ ΓΙΑ ΤΗΝ ΠΡΟΩΘΗΣΗ ΤΩΝ ΓΥΝΑΙΚΩΝ ΤΗΣ ΕΥΡΩΠΗΣ - ΒΡΑΒΕΙΟ ΓΥΝΑΙΚΕΣ ΤΗΣ ΕΥΡΩΠΗΣΜΕΛΟΣ ΤΗΣ ΔΙΟΙΚΟΥΣΑΣ ΕΠΙΤΡΟΠΗΣ ΤΟΥ ΕΥΡΩΠΑΙΚΟΥ ΚΕΝΤΡΟΥ ΠΟΛΙΤΙΣΜΟΥΜΕΛΟΣ ΤΟΥ ΣΥΜΒΟΥΛΙΟΥ ΠΟΛΙΤΙΣΜΟΥ ΤΗΣ ΕΝΩΣΗΣ ΓΙΑ ΤΗΝ ΜΕΣΟΓΕΙΟΔΗΜΟΤΙΚΟΣ ΣΥΜΒΟΥΛΟΣ ΑΘΗΝΑΙΩΝ (1998-1999)ΜΕΛΟΣ ΤΟΥ ΔΙΟΙΚΗΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ ΚΑΙ ΜΕΛΟΣ ΤΗΣ ΕΠΙΣΤΗΜΟΝΙΚΗΣ ΕΠΙΤΡΟΠΗΣ ΤΟΥ ΙΔΡΥΜΑΤΟΣ ΓΙΑ ΤΟ ΠΑΙΔΙ ΚΑΙ ΤΗΝ ΟΙΚΟΓΕΝΕΙΑΔΙΕΘΝΗΣ ΠΡΟΕΔΡΟΣ ΤΗΣ ΔΙΕΘΝΗΣ ΟΡΓΑΝΩΣΗΣ ΓΙΑ ΤΗΝ ΠΡΟΩΘΗΣΗ ΤΩΝ ΓΥΝΑΙΚΩΝ ΤΗΣ ΕΥΡΩΠΗΣ - ΒΡΑΒΕΙΟ ΓΥΝΑΙΚΕΣ ΤΗΣ ΕΥΡΩΠΗΣΜΕΛΟΣ ΤΗΣ ΔΙΟΙΚΟΥΣΑΣ ΕΠΙΤΡΟΠΗΣ ΤΟΥ ΕΥΡΩΠΑΙΚΟΥ ΚΕΝΤΡΟΥ ΠΟΛΙΤΙΣΜΟΥΜΕΛΟΣ ΤΟΥ ΣΥΜΒΟΥΛΙΟΥ ΠΟΛΙΤΙΣΜΟΥ ΤΗΣ ΕΝΩΣΗΣ ΓΙΑ ΤΗΝ ΜΕΣΟΓΕΙΟ,"Mayor of Athen (1998-1999), Boardmember of the scientific committee for children, President of the International Organisation for the promotion of women in Europe",NGOs,NGOs ,http://www.europarl.europa.eu/ep-dif/4482_28-03-2012.pdf,,ND,,,,,,,,
28291,Romana JORDAN,Slovenia,EPP,Democratic Party,European Parliament,MEP,Assistant to the director at Jožef Stefan Institute,Elected office & public sector,Public sector,no,,http://www.acer.europa.eu/Media/News/Pages/New-Chair-of-ACER-Administrative-Board.aspx,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/28291_18-04-2013.pdf,,,,,,,,,,
28291,Romana JORDAN,Slovenia,EPP,Democratic Party,European Parliament,MEP,Chair of the ACER Administrative Board ,NGOs,NGOs,no,4,,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/28291_18-04-2013.pdf,,,,,,,,,,
28291,Romana JORDAN,Slovenia,EPP,Democratic Party,European Parliament,MEP,Member of the Management Board of Financial Fund for Decommissioning of the Nuclear Power Plant Krško (2015 -),NGOs,NGOs,no,,,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/28291_18-04-2013.pdf,,,,,,,,,,
28291,Romana JORDAN,Slovenia,EPP,Democratic Party,European Parliament,MEP,Member of the Administrative Board of the Urban Planning Institute of the Republic of Slovenia (January 2015 – ) ,NGOs,NGOs,no,,,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/28291_18-04-2013.pdf,,,,,,,,,,
28291,Romana JORDAN,Slovenia,EPP,Democratic Party,European Parliament,MEP,"She is also president of the Sustainable Energy Society (2015 -), as well as member of several Others civil society initiatives.",NGOs,NGOs,no,,,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/28291_18-04-2013.pdf,,,,,,,,,,
96886,Rosario CROCETTA,Italy,S&D,Democratic Party,European Parliament,MEP,President of Sicily,Elected office & public sector,Elected office,no,,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_IlPresidente,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96886_20-09-2012.pdf,,PD,,,,,,,,
38595,Rovana PLUMB,Romania,S&D,Social Democratic Party,European Parliament,MEP,Deputy in the Romanian Parliament,Elected office & public sector,Elected office,no,2,,MP of the Romanian Parliament ,MP of the Romanian Parliament ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/38595_21-03-2012.pdf,,,,,,,,,,
38595,Rovana PLUMB,Romania,S&D,Social Democratic Party,European Parliament,MEP,Vice-President of the National Council of PSD,Elected office & public sector,Elected office,no,,http://www.cdep.ro/pls/parlam/structura.mp?idm=290&leg=2012&cam=2,MP of the Romanian Parliament ,MP of the Romanian Parliament ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/38595_21-03-2012.pdf,,,,,,,,,,
96821,Rui TAVARES,Portugal,Greens/EFA,Left Bloc,European Parliament,MEP,Visiting scholar in New York University ,Academia,Academic,no,,https://www.facebook.com/tavaresrui/about?section=education&pnref=about,Escrita Cronicas Imprensa2Comentarios televisivos2Direitos autor/livros1Escrita cronicas imprensa2Direitos autor/livros1Conselho Consultivo IADE School of Design (nao remunerado),"Media commentator, author",Private sector,Media,http://www.europarl.europa.eu/ep-dif/96821_11-04-2012.pdf,,BE,,,,,,,,
38609,Rumiana JELEVA,Bulgaria,EPP,Citizens for European Development of Bulgaria,European Parliament,MEP,Member of Wilfried Martens Centre,Academia,Think tanks,no,,http://www.martenscentre.eu/people/rumiana-jeleva,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/38609_07-07-2009.pdf,,,,,,,,,,
96741,Sabine WILS,Germany,GUE/NGL,The Left,European Parliament,MEP,"Spokesperson for Die Linke, Hamburg",Elected office & public sector,Political parties,no,,https://www.die-linke.de/partei/organe/parteivorstand/parteivorstaende-archiv/parteivorstand-2012-2014/mitglieder/wils-sabine/,,"Employee of party in Hamsestadt, Factionleader at lander",Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/96741_28-03-2012.pdf,,,,,,,,,,
25718,Saïd EL KHADRAOUI,Belgium,S&D,Socialist Party–Differently,European Parliament,MEP,Adviser at European Political Strategy Centre - European Commission,Elected office & public sector,Public sector,no,,https://ec.europa.eu/epsc/team/sa%C3%AFd-el-khadraoui_en,Europees Parlementslip3,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/25718_28-03-2012_Rev2.pdf,,,,,,,,,,
1665,Salvador GARRIGA POLLEDO,Spain,EPP,People's Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,https://ca.wikipedia.org/wiki/Salvador_Garriga_Polledo,Diputado Parlamento Español 1990/932Asesor Parlamento 93/9420000000000000000000000000000000000000000000000000000000000000000,MP in Spanish Parliament (1990-1994),Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/1665_16-03-2012.pdf,,PP,Confirmed,,,,,,,
111018,Salvador SEDÓ i ALABART,Spain,EPP,Coalition for Europe ( Democratic Union of Catalonia),European Parliament,MEP,Senator ,Elected office & public sector,Elected office,no,,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?lang=en&id1=16125&legis=10,Director general of Foreign Affairs - Government de Catalunya2NISIROS SL - President2Fundació catalana per a les relacions Internacionals - INTERCATPromociones Inmobiliarias Reus 2007 SL - AdministradorNISIROS SL - PresidentePromociones Inmobiliarias Reus 2007 SL - Administrador,"Directeur ICF Habitat, Administrator of Public Transport Marseille ",Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/111018_22-03-2012.pdf,,,,,,,,,,
