host	date	location	title	guestid	guestname	cabinet
Director-General Karl-Friedrich Falkenberg	12/02/2015	Bruxelles	Prevention's potential in packaging to deliver resource efficiency	616597915313-68	Flexible Packaging Europe	
Director-General Karl-Friedrich Falkenberg	03/02/2015	Bruxelles	Large Combustion Plants BREF	4271427696-87	EURELECTRIC	
Director-General Karl-Friedrich Falkenberg	03/02/2015	Bruxelles	circular economy, environmental footprint and biodiversity	16094042309-21	LVMH Publica	
Director-General Karl-Friedrich Falkenberg	11/12/2014	Beaulieu	Timber regulations	1414929419-24	WWF European Policy Programme	
Director-General Karl-Friedrich Falkenberg	03/12/2014	Avenue Tervuren 168	WWF european Board Chairs	1414929419-24	WWF European Policy Programme	
Director-General Jonathan Faull	05/03/2015	London	Legal and policy developments	unregistered	London Stock Exchange plc	
Director-General Jonathan Faull	05/03/2015	London	Roundtable discussion with focus on Capital Markets Union	682204616246-85	The Whitehall &amp; Industry Group	
Director-General Jonathan Faull	04/03/2015	London	"Global Restructuring and Insolvency Dinner ""Reforming the EU financial sector - where are we heading?"""	75449787878-94	Linklaters LLP	
Director-General Jonathan Faull	23/02/2015	London (UK)	Conference on Creating an EU Captial Markets Union	701266814986-18	Goldman Sachs	
Director-General Jonathan Faull	23/02/2015	London	Dialogue on Creating an EU Capital Markets Union	701266814986-18	Goldman Sachs	
Director-General Jonathan Faull	10/02/2015	London (UK)	Conference on Capital Markets Union	469253615206-77	Institute of Directors	
Director-General Jonathan Faull	10/02/2015	London (UK)	The role of the UK in the EU	245656815596-72	The Campaign for British Influence in Europe Limited	
Director-General Jonathan Faull	30/01/2015	Brussels	Capital Markets Union	86270761494-62	Aviva Plc	
Director-General Jonathan Faull	28/01/2015	Brussels	Financial Services Policy	237922911665-25	TheCityUK	
Director-General Jonathan Faull	09/01/2015	Brussels	Exchange of views on the new European Commission	15491122381-71	ASSONIME	
Director-General Jonathan Faull	11/12/2014	Brussels	General EU policy developments, capital markets union (CMU)	469253615206-77	Institute of Directors	
Director-General Jonathan Faull	03/12/2014	Brussels	Single Market in Services, Capital Markets Union, UK developments	471036615028-82	Policy Network and Communications Ltd	
Director-General Jonathan Faull	03/12/2014	Brussels	MiFID / Switzerland	92439142374-67	Steptoe &amp; Johnson LLP	
Director-General Jonathan Faull	02/12/2014	Brussels	Future Challenges for Europe	590425913785-60	Global Counsel LLP 	
Director-General Ladislav Miko	26/02/2015	Brussels (BELGIUM)	GM import authorizations	unregistered	Fédération Européenne des Fabricants d&#039;Aliments Composés (FEFAC) 	
Director-General Ladislav Miko	26/02/2015	Brussels (BELGIUM)	GM import authorizations	unregistered	The EU Vegetable Oil and Proteinmeal Industry (FEDIOL) 	
Director-General Ladislav Miko	26/02/2015	Brussels (BELGIUM)	GM import authorizations	2050009628-31	Comité du commerce des céréales, aliments du bétail, oléagineux, huile d&#039;olive, huiles et graisses et agrofournitures de l&#039;U.E.	
Director-General Ladislav Miko	26/02/2015	Brussels (BELGIUM)	GM import authorizations	75818824519-45	FoodDrinkEurope	
Director-General Ladislav Miko	26/02/2015	Brussels (BELGIUM)	GM import authorizations	4422649896-52	Union Européenne du Commerce du Bétail et des Métiers de la Viande	
Director-General Ladislav Miko	24/02/2015	Brussels (BELGIUM)	Probiotics	219068015989-38	Association des yaourts &amp; laits fermentés vivants	
Director-General Ladislav Miko	09/02/2015	Brussels (BELGIUM)	Tyocerin	634234715903-41	rubinum	
Director-General Ladislav Miko	06/02/2015	Brussels (BELGIUM)	Take stock of the issue with Russia following the agreement reached in Berlin	4422649896-52	Union Européenne du Commerce du Bétail et des Métiers de la Viande	
Director-General Ladislav Miko	05/02/2015	Brussels (BELGIUM)	Présentation de projets	38367579546-45	Boerenbond	
Director-General Ladislav Miko	21/01/2015	Brussels (BELGIUM)	GMO	1298286943-59	EUROPABIO	
Director-General Ladislav Miko	20/01/2015	Brussels (BELGIUM)	Exchange of views regarding the EU strategic plan for 2015-2016 and EGA vision	unregistered	European Generic Medicines Association (Adrian Van den Hoven / Beata Stepniewska)	
Director-General Ladislav Miko	19/01/2015	Brussels (BELGIUM)	2015 European Business Summit and a potential collaboration between your DG and EBS.	268958411031-65	European Business Summit Network	
Director-General Ladislav Miko	19/12/2014	Brussels	Export of agricultural products	4422649896-52	Union Européenne du Commerce du Bétail et des Métiers de la Viande	
Director-General Ladislav Miko	08/12/2014	B232 07/066	Health claims	65512466920-96	EHPM - M. Maggiar	
Director-General Ladislav Miko	05/12/2014	B232 07/066	New transparency rules and pending GM authorisations	1298286943-59	Europabio - Ms Nathalie Moll	
Director-General Daniel Calleja Crespo	12/02/2015	Brussels	Vision of Cosmetics industry - link with Europe and internal market	83575061669-96	Cosmetics Europe	
Director-General Daniel Calleja Crespo	11/02/2015	Brussels	Business Summit	94327308403-58	Llorente &amp; Cuenca	
Director-General Daniel Calleja Crespo	04/02/2015	Brussels	Industrial Road Map - Energy union	3978240953-79	BUSINESSEUROPE	
Director-General Daniel Calleja Crespo	28/01/2015	Brussels	Role of the manufacturing industry in Europe	60534525900-25	CECE - Committee for European Construction Equipment	
Director-General Daniel Calleja Crespo	22/01/2015	Brussels	Problématique secteur aéronautique en Europe	72699997886-57	AeroSpace and Defence Industries Association of Europe	
Director-General Daniel Calleja Crespo	21/01/2015	Brussels	Private label products / Unfair trading practices (UTPs)	790916815118-34	Promarca	
Director-General Daniel Calleja Crespo	21/01/2015	Brussels	Private label products / Unfair trading practices (UTPs)	790916815118-34	.ASOCIACION ESPAÑOLA DE EMPRESAS DE PRODUCTOS DE MARCA	
Director-General Daniel Calleja Crespo	14/01/2015	Brussels, Belgium	2015 Summit / Potential collaboration GRW / EBS	268958411031-65	European Business Summit Network 	
Director-General Daniel Calleja Crespo	13/01/2015	Brussels, Belgium	Recent activities of General Electric in Europe	unregistered	General Electric Global Growth	
Director-General Daniel Calleja Crespo	12/01/2015	Brussels, Belgium	Industrial Competitiveness / Energy and Climate	16699959051-14	Alonso &amp; Asociados	
Director-General Daniel Calleja Crespo	06/01/2015	Brussels, Belgium	Préparation du futur DSM / Perspectives offertes par l'innovation et les solutions pour les entreprises	90142503473-81	Vodafone	
Director-General Daniel Calleja Crespo	19/12/2014	Brussels, Belgium	SBA2	67816104631-57	Zentralverband des Deutschen Handwerks (ZDH)	
Director-General Daniel Calleja Crespo	18/12/2014	Brussel, Belgium	7th Annual Conference on European Space Policy	72856225852-31	Business Bridge Europe	
Director-General Daniel Calleja Crespo	08/12/2014	Brussels, Belgium	SME Policy	0014082722-83	Eurochambres	
Director-General Daniel Calleja Crespo	04/12/2014	Brussels, Belgium	Cars / RDE /WLTP / Framework Directive 2007/46/EC	08349577987-17	08349577987-17	
Director-General Daniel Calleja Crespo	03/12/2014	Brussels, Belgium	SMEs / Directive non-performing loans Spain / Structural funds	431721915076-92	PIMEC	
Director-General Fernando Frutuoso de Melo	18/02/2015	Belgium, Brussels	Overview of EU development priorities in West Africa and Nigeria in particular; West Africa-EU Economic Partnership Agreement; EU blending facilities; Instability in the Niger Delta region; possibilities of collaboration between Shell and EU.	unregistered	Chairmen of Shell Nigeria	
Director-General Fernando Frutuoso de Melo	03/02/2015	Brussels, Belgium	Modalités de coopération entre DEVCO et les organismes de la société civile, notamment les ONG	34478709670-34	CONCORD	
Director-General Fernando Frutuoso de Melo	03/02/2015	Brussels, Belgium	Programmes de biodiversité et de défense de wildlife dans les pays du développement	10132247681-61	Wildlife Conservation Society	
Director-General Fernando Frutuoso de Melo	02/02/2015	Brussels, Belgium	L'avenir de la coopération entre DEVCO et COLEACP dans le contexte d'appui au développement du secteur privé et du commerce entre les ACP et l'UE	unregistered	COLEACP	
Director-General Fernando Frutuoso de Melo	27/01/2015	Brussels, Belgium	Coopération entre DEVCO et IRC en faveur des réfugiés	66790095679-26	International Rescue Committee	
Director-General Fernando Frutuoso de Melo	23/01/2015	L-41; 12/12	Development and Climate Change	581250215524-23	World Resources Institute	
Director-General Fernando Frutuoso de Melo	07/01/2015	Brussels, Belgium	Priorités de la politique européenne du développement pour les 5 années à venir; Communication sur le secteur privé; Facilités d'investissements; Blending	291670415157-05	Aguas de Portugal	
Director-General Fernando Frutuoso de Melo	07/01/2015	Brussels, Belgium	Priorités de la politique européenne du développement pour les 5 années à venir; Communication sur le secteur privé; Facilités d'investissements; Blending	109837415047-11	ELO - Portuguese Association for Economic Development and Cooperation	
Director-General Vladimir Šucha	09/01/2015	Brussels	meeting on evaluation of the current cooperation (results of the petroleum refineries fitness check, well to wheel project) and discussion on future scientific challenges in the areas of alternative fuels and genotoxicology and fuels.	10257354120-19	Fuels Europe	
Director-General Vladimir Šucha	07/01/2015	Bruxelles	Horizon scanning of new emerging technologies and spill-over of digital innovation to other sectors	03181945560-59	Google	
Director-General Lowri Evans	08/01/2014	Brussels	Implementation of the CFP reform	unregistered	Environmental Defence Action Fund	
Director-General Alfred Matthias Ruete	26/02/2015	Brussels, Belgium	Migration & Asylum	07483302972-25	Diakonie Deutschland - Evangelischer Bundesverband	
Director-General Alfred Matthias Ruete	23/01/2015	Brussels, Belgium	Exchange of views on Security Industrial issues, The European Agenda on Security and Proposals for flagship programmes in Cybersecurity and Border Management	72699997886-57	AeroSpace and Defence Industries Association of Europe	
Director-General Alfred Matthias Ruete	14/01/2015	Berlin, Germany	Legal Migration, Labour/Economic Migration	1771817758-48	Bundesverband der Deutschen Industrie e.V.	
Director-General Alfred Matthias Ruete	14/01/2015	Berlin, Germany	Legal Migration, Labour/Economic Migration	7749519702-29	Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.	
Director-General Alfred Matthias Ruete	14/01/2015	Berlin, Germany	Legal Migration, Labour/Economic Migration	22400601191-42	Deutscher Industrie- und Handelskammertag e.V.	
Director-General Alfred Matthias Ruete	19/12/2014	Brussels, Belgium	Update on Security Flagships (Cybersecurity and Integrated Border Management)	32134385519-64	European Organisation for Security	
Director-General Alfred Matthias Ruete	09/12/2014	Brussels, Belgium	Fight against Corruption and Organised Crime	815363015135-08	LIBERA - Associations Names and Numbers against Mafias 	
Director-General Alfred Matthias Ruete	02/12/2014	Brussels, Belgium	Terrorism, Protection of Jewish Institutions and Financing of Jewish Facilities	680684015088-57	Israelitische Kultusgemeinde Wien 	
Director-General Christian Danielsson	26/02/2015	Brussels	Neighbourhood and Enlargement policies	876602816224-14	Stiftung Mercator	
Director-General Christian Danielsson	26/02/2015	Brussels	Discussions on Neighbourhood and Enlargement policies	unregistered	US Chamber of Commerce 	
Director-General Christian Danielsson	25/02/2015	Brussels	Bilateral meeting	65470797015-89	 Council of European Energy Regulators	
Director-General Christian Danielsson	25/02/2015	Brussels	Discussions on Neighboouhood and Enlargement policies	39912257528-48	Confederation of Swedish Enterprise	
Director-General Christian Danielsson	21/01/2015	Brussels, Belgium	Discussions over neighbourhood and enlargement negociations	485329315341-81	EMD Advisory Services	
Director-General Christian Danielsson	21/01/2015	Brussels, Belgium	Invited by Swedish Permanent Representative to present the Commission's Neighbourhood and Enlargement Policy	39912257528-48	Confederation of Swedish Enterprise	
Director-General Christian Danielsson	21/01/2015	Brussels, Belgium	Neigbourhood and Enlargement policy	987254615667-08	Ad Venture Radio B. V. 	
Director-General Christian Danielsson	15/01/2015	Brussels, Belgium	Neighbourhood and Enlargement policies	545618415097-69	Europäische Stabilitäts-Initiative 	
Director-General Walter Deffaa	26/01/2015	Brussels, Belgium	Meeting with EU Chamber of Commerce in China (EUCCC): Presentation EUCCC Position Paper 2014-2015	592343015058-67	European Union Chamber of Commerce in China	
Director-General Robert-Jan Smits	19/02/2015	Brussels	Societal Impact of Science conference	514813715730-66	ScienceWorks	
Director-General Robert-Jan Smits	11/02/2015	Brussels, office DG	Smart Delta Regio/CNG	38235121060-73	Dow Europe	
Director-General Robert-Jan Smits	15/12/2014	Vienna	Innovation	10751968675-85	Infineon Technologies AG	
Director-General Robert-Jan Smits	09/12/2014	Brussels, office DG	Blueprint HLG	31367501249-92	EPPA SA	
Director-General Heinz Zourek	23/02/2015	Taxud Brussels Office	Current Taxation issues and EU-Swiss dossiers	unregistered	Swiss Fincancial Council / Credit Suisse Group	
Director-General Heinz Zourek	23/02/2015	Taxud Brussels Office	Current Taxation issues and EU-Swiss dossiers	858716912337-17	Swiss Finance Council	
Director-General Heinz Zourek	21/01/2015	Taxud Brussels Office	Tax competition and FTT	unregistered	Federation of Austrian Industries	
Director-General Heinz Zourek	21/01/2015	Taxud Brussels Office	Tax competition and FTT	89093924456-06	Vereinigung der österreichischen Industrie - Industriellenvereinigung	
Director-General Heinz Zourek	04/12/2014	Taxud Brussels office	BEPS, FTT, FATCA, EUSD/DAC and consequences for 3rd countries	858716912337-17	Swiss Finance Council	
Director-General Heinz Zourek	04/12/2014	Taxud Brussels office	BEPS, FTT, FATCA, EUSD/DAC and consequences for 3rd countries	858716912337-17	Swiss Finance Council	
